feature,label,normal_mean_z,hard_mean_z,diff_z,normal_mean_raw,hard_mean_raw,diff_raw,cohen_d,normalization_method,normalization_path
mat_02_mean,poisson_ratio,0.21300721096328454,-0.020505417936161816,-0.23351262889944635,0.31534505912742633,0.2893337598728274,-0.02601129925459894,-1.0914535475981857,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_08_mean,stress_curve_0.001_0.5,0.05926591360880848,0.3153286695599226,0.25606275595111416,291.4418377752805,369.1239527278862,77.68211495260573,0.6683889492220296,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_07_mean,stress_curve_0.001_0.2,0.07397605038582372,0.28861410829808953,0.2146380579122658,268.6974557395326,327.38185829407,58.68440255453743,0.6334301945747222,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_06_mean,stress_curve_0.001_0.15,0.07286579286522933,0.2858130027502138,0.2129472098849845,256.7763952392983,312.6910218292175,55.91462658991918,0.6305238257687057,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_05_mean,stress_curve_0.001_0.1,0.07521905049617487,0.2878883371250539,0.21266928662887902,242.09283347896064,294.9625227894511,52.86968931049046,0.6241698883031139,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_04_mean,stress_curve_0.001_0.05,0.08174910337418331,0.29784881958244047,0.21609971620825716,222.78329002943664,272.73574276514665,49.95245273571001,0.6151580622661363,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_03_mean,stress_curve_0.001_0,0.11264365015481248,0.35333143503449316,0.24068778487968068,183.61292149779712,231.89440771813912,48.281486220342,0.5983075953719144,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_11_mean,stress_curve_1_0.1,0.1151940551969777,0.3072950375116209,0.1921009823146432,222.92380814153938,267.18973168920365,44.26592354766427,0.5645181692963238,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_12_mean,stress_curve_1_0.15,-0.13597260422941967,-0.12624538772958183,0.009727216499837849,5.9793604051793015,7.04657395687353,1.0672135516942287,0.2963721687456232,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_09_mean,stress_curve_1_0,-0.13323272002600225,-0.12370150953033095,0.009531210495671308,4.193052752291596,4.9414409729190645,0.7483882206274686,0.2963721687456231,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_10_mean,stress_curve_1_0.05,-0.13601936675798776,-0.12628880495751352,0.009730561800474241,5.151733074576878,6.071229292383061,0.9194962178061825,0.29637216874562294,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_14_mean,stress_curve_1_0.5,-0.13542309133115538,-0.12573518591873226,0.00968790541242312,6.926617029620392,8.16289983666071,1.2362828070403182,0.29637216874562294,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_13_mean,stress_curve_1_0.2,-0.13582723191017232,-0.1261104150642237,0.009716816845948606,6.228693306516069,7.340408562436876,1.1117152559208066,0.2963721687456226,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_01_mean,young_modulus,0.0732042463147648,0.04060143513987048,-0.03260281117489432,104.36328560201844,101.14208268889807,-3.221202913120365,-0.08797831531847072,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
mat_00_mean,density,0.048138933366046695,0.033626685124283316,-0.014512248241763379,4.4937895417943595e-06,4.4458418492408084e-06,-4.794769255355106e-08,-0.04312284645584962,z-score,/data1/user/yikun/project/PT-HICNET/feather/normalization_params.pkl
